Categoria,Item,Valor
transacao_pais,Afghanistan,
transacao_pais,Afghanistan - count,2
transacao_pais,Albania,
transacao_pais,Albania - count,2
transacao_pais,American Samoa,
transacao_pais,American Samoa - count,3
transacao_pais,Andorra,
transacao_pais,Andorra - count,4
transacao_pais,Angola,
transacao_pais,Angola - count,4
transacao_pais,Anguilla,
transacao_pais,Anguilla - count,4
transacao_pais,Antarctica (the territory South of 60 deg S),
transacao_pais,Antarctica (the territory South of 60 deg S) - count,6
transacao_pais,Antigua and Barbuda,
transacao_pais,Antigua and Barbuda - count,6
transacao_pais,Argentina,
transacao_pais,Argentina - count,2
transacao_pais,Armenia,
transacao_pais,Armenia - count,6
transacao_pais,Aruba,
transacao_pais,Aruba - count,2
transacao_pais,Australia,
transacao_pais,Australia - count,3
transacao_pais,Austria,
transacao_pais,Austria - count,4
transacao_pais,Azerbaijan,
transacao_pais,Azerbaijan - count,4
transacao_pais,Bahamas,
transacao_pais,Bahamas - count,3
transacao_pais,Bahrain,
transacao_pais,Bahrain - count,2
transacao_pais,Bangladesh,
transacao_pais,Bangladesh - count,4
transacao_pais,Barbados,
transacao_pais,Barbados - count,6
transacao_pais,Belarus,
transacao_pais,Belarus - count,6
transacao_pais,Belgium,
transacao_pais,Belgium - count,5
transacao_pais,Belize,
transacao_pais,Belize - count,2
transacao_pais,Benin,
transacao_pais,Benin - count,3
transacao_pais,Bermuda,
transacao_pais,Bermuda - count,5
transacao_pais,Bhutan,
transacao_pais,Bhutan - count,5
transacao_pais,Bolivia,
transacao_pais,Bolivia - count,3
transacao_pais,Bosnia and Herzegovina,
transacao_pais,Bosnia and Herzegovina - count,3
transacao_pais,Botswana,
transacao_pais,Botswana - count,1
transacao_pais,Bouvet Island (Bouvetoya),
transacao_pais,Bouvet Island (Bouvetoya) - count,3
transacao_pais,Brazil,
transacao_pais,Brazil - count,3
transacao_pais,British Indian Ocean Territory (Chagos Archipelago),
transacao_pais,British Indian Ocean Territory (Chagos Archipelago) - count,7
transacao_pais,British Virgin Islands,
transacao_pais,British Virgin Islands - count,8
transacao_pais,Brunei Darussalam,
transacao_pais,Brunei Darussalam - count,3
transacao_pais,Bulgaria,
transacao_pais,Bulgaria - count,2
transacao_pais,Burkina Faso,
transacao_pais,Burkina Faso - count,1
transacao_pais,Burundi,
transacao_pais,Burundi - count,6
transacao_pais,Cambodia,
transacao_pais,Cambodia - count,7
transacao_pais,Cameroon,
transacao_pais,Cameroon - count,4
transacao_pais,Canada,
transacao_pais,Canada - count,7
transacao_pais,Cape Verde,
transacao_pais,Cape Verde - count,4
transacao_pais,Cayman Islands,
transacao_pais,Cayman Islands - count,7
transacao_pais,Central African Republic,
transacao_pais,Central African Republic - count,5
transacao_pais,Chad,
transacao_pais,Chad - count,3
transacao_pais,Chile,
transacao_pais,Chile - count,5
transacao_pais,China,
transacao_pais,China - count,6
